,1,2,3,4,5,6,7,Total
KUTAI BARAT,0.911765,0.004202,0.004202,0.033613,0.012605,0.033613,0.000000,238
KUTAI KARTANEGARA,0.863436,0.004405,0.048458,0.039648,0.000000,0.044053,0.000000,227
KUTAI TIMUR,0.562963,0.014815,0.370370,0.051852,0.000000,0.000000,0.000000,135
LABUHAN BATU,0.642857,0.000000,0.326531,0.030612,0.000000,0.000000,0.000000,98
LABUHAN BATU SELATAN,0.611111,0.000000,0.222222,0.092593,0.000000,0.074074,0.000000,54
LABUHAN BATU UTARA,0.555556,0.000000,0.355556,0.077778,0.000000,0.011111,0.000000,90
LAHAT,0.912234,0.005319,0.053191,0.023936,0.002660,0.002660,0.000000,376
LAMANDAU,0.939759,0.000000,0.012048,0.024096,0.000000,0.024096,0.000000,83
LAMONGAN,0.890295,0.000000,0.050633,0.025316,0.000000,0.031646,0.002110,474
LAMPUNG BARAT,0.909449,0.000000,0.015748,0.047244,0.000000,0.027559,0.000000,254
LAMPUNG SELATAN,0.888446,0.000000,0.047809,0.019920,0.003984,0.023904,0.015936,251
LAMPUNG TENGAH,0.768730,0.000000,0.156352,0.061889,0.000000,0.013029,0.000000,307
LAMPUNG TIMUR,0.828794,0.003891,0.050584,0.077821,0.000000,0.027237,0.011673,257
LAMPUNG UTARA,0.789474,0.000000,0.068826,0.097166,0.000000,0.028340,0.016194,247
LANDAK,0.935897,0.000000,0.000000,0.064103,0.000000,0.000000,0.000000,156
LANGKAT,0.166065,0.000000,0.277978,0.216606,0.000000,0.335740,0.003610,277
LANGSA,0.075758,0.015152,0.545455,0.242424,0.000000,0.090909,0.030303,66
LANNY JAYA,0.867133,0.000000,0.055944,0.048951,0.000000,0.027972,0.000000,143
LEBAK,0.768116,0.002899,0.014493,0.066667,0.000000,0.147826,0.000000,345
LEBONG,0.927928,0.000000,0.000000,0.027027,0.000000,0.045045,0.000000,111
LEMBATA,0.986111,0.000000,0.006944,0.000000,0.000000,0.006944,0.000000,144
LHOKSEUMAWE,0.985294,0.000000,0.000000,0.014706,0.000000,0.000000,0.000000,68
LINGGA,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57
LOMBOK BARAT,0.869919,0.000000,0.000000,0.105691,0.000000,0.024390,0.000000,123
LOMBOK TENGAH,0.928058,0.000000,0.028777,0.007194,0.000000,0.035971,0.000000,139
LOMBOK TIMUR,0.762791,0.000000,0.111628,0.065116,0.000000,0.055814,0.004651,215
LOMBOK UTARA,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33
LUBUKLINGGAU,0.944444,0.000000,0.000000,0.041667,0.000000,0.013889,0.000000,72
LUMAJANG,0.970732,0.000000,0.004878,0.024390,0.000000,0.000000,0.000000,205
LUWU,0.964758,0.000000,0.000000,0.022026,0.008811,0.004405,0.000000,227
LUWU TIMUR,0.928571,0.000000,0.026786,0.008929,0.000000,0.035714,0.000000,112
LUWU UTARA,0.914773,0.000000,0.011364,0.017045,0.000000,0.056818,0.000000,176
MADIUN,0.759657,0.000000,0.107296,0.051502,0.000000,0.064378,0.017167,233
MAGELANG,0.969152,0.000000,0.000000,0.020566,0.000000,0.010283,0.000000,389
MAGETAN,0.889362,0.000000,0.004255,0.042553,0.000000,0.059574,0.004255,235
MAJALENGKA,0.940476,0.000000,0.002976,0.029762,0.000000,0.023810,0.002976,336
MAJENE,0.986842,0.000000,0.000000,0.013158,0.000000,0.000000,0.000000,76
MAKASSAR,0.986014,0.000000,0.000000,0.006993,0.000000,0.000000,0.006993,143
MALANG,0.919463,0.000000,0.042506,0.026846,0.000000,0.008949,0.002237,447
MALINAU,0.816514,0.000000,0.119266,0.045872,0.000000,0.018349,0.000000,109
MALUKU BARAT DAYA,0.384615,0.000000,0.529915,0.076923,0.000000,0.000000,0.008547,117
